Index,Year,Month,Temp
50,1905,Feb,22.15
51,1905,Mar,38.86
52,1905,Apr,48.92
53,1905,May,60.35
54,1905,Jun,67.73
55,1905,Jul,73.94
56,1905,Aug,70.39
57,1905,Sep,64.87
58,1905,Oct,54.27
59,1905,Nov,40.77
60,1905,Dec,35.31
61,1906,Jan,35.55
62,1906,Feb,29.86
63,1906,Mar,33.46
64,1906,Apr,50.52
65,1906,May,60.75
66,1906,Jun,70.02
67,1906,Jul,72.68
68,1906,Aug,74.16
69,1906,Sep,68.07
70,1906,Oct,53.71
71,1906,Nov,42.39
72,1906,Dec,32.36
73,1907,Jan,31.06
74,1907,Feb,22.64
75,1907,Mar,40.15
76,1907,Apr,44.37
77,1907,May,54.63
78,1907,Jun,64.08
79,1907,Jul,73.13
80,1907,Aug,69.89
81,1907,Sep,66.15
82,1907,Oct,49.24
83,1907,Nov,42.08
84,1907,Dec,35.46
85,1908,Jan,30.45
86,1908,Feb,26.78
87,1908,Mar,40.95
88,1908,Apr,50.68
89,1908,May,61.11
90,1908,Jun,69.49
91,1908,Jul,75.45
92,1908,Aug,70.41
93,1908,Sep,64.92
94,1908,Oct,56.68
95,1908,Nov,42.39
96,1908,Dec,33.53
97,1909,Jan,32.32
98,1909,Feb,36.91
99,1909,Mar,37.18
100,1909,Apr,49.33
101,1909,May,59.5
102,1909,Jun,69.62
103,1909,Jul,71.31
104,1909,Aug,69.75
105,1909,Sep,63.86
106,1909,Oct,50.29
107,1909,Nov,45.48
108,1909,Dec,28.9
109,1910,Jan,29.12
110,1910,Feb,29.73
111,1910,Mar,43.68
112,1910,Apr,52.92
113,1910,May,59.34
114,1910,Jun,66.56
115,1910,Jul,74.68
116,1910,Aug,69.98
117,1910,Sep,66.78
118,1910,Oct,56.26
119,1910,Nov,39.18
120,1910,Dec,25.95
121,1911,Jan,32.83
122,1911,Feb,30.33
123,1911,Mar,36.5
124,1911,Apr,46.58
125,1911,May,63.9
126,1911,Jun,68.74
127,1911,Jul,75.31
128,1911,Aug,71.8
129,1911,Sep,65.89
130,1911,Oct,53.4
131,1911,Nov,40.35
132,1911,Dec,37.67
133,1912,Jan,21.56
134,1912,Feb,26.73
135,1912,Mar,36.32
136,1912,Apr,49.62
137,1912,May,61.3
138,1912,Jun,67.73
139,1912,Jul,73.13
140,1912,Aug,69.51
141,1912,Sep,65.35
142,1912,Oct,56.1
143,1912,Nov,44.11
144,1912,Dec,36.37
145,1913,Jan,38.89
146,1913,Feb,29.84
147,1913,Mar,43.88
148,1913,Apr,51.44
149,1913,May,59.99
150,1913,Jun,68.77
151,1913,Jul,73.98
152,1913,Aug,71.37
153,1913,Sep,63.79
154,1913,Oct,56.68
155,1913,Nov,44.96
156,1913,Dec,36.84
157,1914,Jan,31.1
158,1914,Feb,24.84
159,1914,Mar,34.2
160,1914,Apr,47.61
161,1914,May,62.37
162,1914,Jun,68.25
163,1914,Jul,71.15
164,1914,Aug,72.77
165,1914,Sep,63.43
166,1914,Oct,57.31
167,1914,Nov,42.21
168,1914,Dec,30.38
169,1915,Jan,32.54
170,1915,Feb,34.52
171,1915,Mar,35.1
172,1915,Apr,53.83
173,1915,May,57.63
174,1915,Jun,66.54
175,1915,Jul,72.5
176,1915,Aug,70.59
177,1915,Sep,67.78
178,1915,Oct,55.33
179,1915,Nov,42.91
180,1915,Dec,31.19
181,1916,Jan,34.32
182,1916,Feb,27.37
183,1916,Mar,31.15
184,1916,Apr,47.8
185,1916,May,61.03
186,1916,Jun,64.63
187,1916,Jul,74.01
188,1916,Aug,72.79
189,1916,Sep,64.54
190,1916,Oct,54.32
191,1916,Nov,42.51
192,1916,Dec,31.53
193,1917,Jan,30.78
194,1917,Feb,27.57
195,1917,Mar,37.62
196,1917,Apr,48.47
197,1917,May,54
198,1917,Jun,68.85
199,1917,Jul,73.58
200,1917,Aug,73.53
201,1917,Sep,60.94
202,1917,Oct,49.95
203,1917,Nov,38.79
204,1917,Dec,24.37
205,1918,Jan,19.47
206,1918,Feb,28.18
207,1918,Mar,41.11
208,1918,Apr,49.28
209,1918,May,64.18
210,1918,Jun,66.16
211,1918,Jul,71.91
212,1918,Aug,74.21
213,1918,Sep,61.81
214,1918,Oct,56.28
215,1918,Nov,43.07
216,1918,Dec,37.02
217,1919,Jan,33.28
218,1919,Feb,32.63
219,1919,Mar,42.53
220,1919,Apr,48.96
221,1919,May,60.49
222,1919,Jun,69.13
223,1919,Jul,73.31
224,1919,Aug,69.57
225,1919,Sep,65.26
226,1919,Oct,58.64
227,1919,Nov,42.93
228,1919,Dec,28.38
229,1920,Jan,23.09
230,1920,Feb,27.27
231,1920,Mar,38.95
232,1920,Apr,47.62
233,1920,May,56.55
234,1920,Jun,67.87
235,1920,Jul,71.26
236,1920,Aug,71.65
237,1920,Sep,66.2
238,1920,Oct,58.05
239,1920,Nov,42.19
240,1920,Dec,35.82
241,1921,Jan,32.4
242,1921,Feb,33.39
243,1921,Mar,48.45
244,1921,Apr,55.38
245,1921,May,59.45
246,1921,Jun,69.76
247,1921,Jul,75.81
248,1921,Aug,69.26
249,1921,Sep,69.62
250,1921,Oct,53.58
251,1921,Nov,43.56
252,1921,Dec,31.89
253,1922,Jan,27.09
254,1922,Feb,33.03
255,1922,Mar,40.73
256,1922,Apr,50.36
257,1922,May,62.37
258,1922,Jun,70.77
259,1922,Jul,72.43
260,1922,Aug,70.48
261,1922,Sep,66.22
262,1922,Oct,56.16
263,1922,Nov,43.54
264,1922,Dec,32.13
265,1923,Jan,29.91
266,1923,Feb,25.61
267,1923,Mar,37.74
268,1923,Apr,49.23
269,1923,May,58.6
270,1923,Jun,72
271,1923,Jul,71.44
272,1923,Aug,70.21
273,1923,Sep,66.4
274,1923,Oct,53.24
275,1923,Nov,42.37
276,1923,Dec,40.53
277,1924,Jan,31.71
278,1924,Feb,28.08
279,1924,Mar,38.03
280,1924,Apr,47.5
281,1924,May,56.14
282,1924,Jun,66.31
283,1924,Jul,71.6
284,1924,Aug,71.76
285,1924,Sep,61.63
286,1924,Oct,53.74
287,1924,Nov,42.1
288,1924,Dec,32.63
289,1925,Jan,27.09
290,1925,Feb,36.72
291,1925,Mar,42.64
292,1925,Apr,51.3
293,1925,May,57.38
294,1925,Jun,73.6
295,1925,Jul,72.07
296,1925,Aug,70.74
297,1925,Sep,67.68
298,1925,Oct,48.6
299,1925,Nov,41.23
300,1925,Dec,33.64
301,1926,Jan,30.02
302,1926,Feb,29.08
303,1926,Mar,34.79
304,1926,Apr,46.33
305,1926,May,59.05
306,1926,Jun,64.8
307,1926,Jul,73.04
308,1926,Aug,72.57
309,1926,Sep,64.31
310,1926,Oct,52.65
311,1926,Nov,41.92
312,1926,Dec,28.31
313,1927,Jan,28.94
314,1927,Feb,35.78
315,1927,Mar,41.52
316,1927,Apr,47.28
317,1927,May,57.81
318,1927,Jun,65.17
319,1927,Jul,72.43
320,1927,Aug,67.15
321,1927,Sep,65.23
322,1927,Oct,56.37
323,1927,Nov,47.46
324,1927,Dec,35.37
325,1928,Jan,31.98
326,1928,Feb,31.3
327,1928,Mar,37.94
328,1928,Apr,46.96
329,1928,May,57.78
330,1928,Jun,66.63
331,1928,Jul,74.05
332,1928,Aug,74.34
333,1928,Sep,62.22
334,1928,Oct,55.63
335,1928,Nov,44.69
336,1928,Dec,35.87
337,1929,Jan,30.43
338,1929,Feb,30.97
339,1929,Mar,44.76
340,1929,Apr,51.19
341,1929,May,59.59
342,1929,Jun,69.48
343,1929,Jul,72.93
344,1929,Aug,69.8
345,1929,Sep,66.74
346,1929,Oct,51.8
347,1929,Nov,43.92
348,1929,Dec,33.66
349,1930,Jan,31.39
350,1930,Feb,35.06
351,1930,Mar,39.67
352,1930,Apr,47.32
353,1930,May,62.6
354,1930,Jun,71.22
355,1930,Jul,74.43
356,1930,Aug,71.04
357,1930,Sep,69.44
358,1930,Oct,52.07
359,1930,Nov,43.45
360,1930,Dec,32.7
361,1931,Jan,31.32
362,1931,Feb,32.88
363,1931,Mar,38.62
364,1931,Apr,49.51
365,1931,May,59.9
366,1931,Jun,69.26
367,1931,Jul,76.3
368,1931,Aug,72.97
369,1931,Sep,70.03
370,1931,Oct,57.76
371,1931,Nov,49.75
372,1931,Dec,39.76
373,1932,Jan,41.77
374,1932,Feb,35.35
375,1932,Mar,36.28
376,1932,Apr,47.88
377,1932,May,60.13
378,1932,Jun,69.01
379,1932,Jul,73.45
380,1932,Aug,73.29
381,1932,Sep,66.2
382,1932,Oct,55.76
383,1932,Nov,41.49
384,1932,Dec,36.05
385,1933,Jan,38.34
386,1933,Feb,33.06
387,1933,Mar,38.01
388,1933,Apr,50.04
389,1933,May,62.83
390,1933,Jun,70.88
391,1933,Jul,73.24
392,1933,Aug,72.46
393,1933,Sep,67.64
394,1933,Oct,53.33
395,1933,Nov,40.14
396,1933,Dec,32.05
397,1934,Jan,33.55
398,1934,Feb,19.65
399,1934,Mar,36
400,1934,Apr,48.99
401,1934,May,61.81
402,1934,Jun,72.23
403,1934,Jul,75.87
404,1934,Aug,69.8
405,1934,Sep,67.01
406,1934,Oct,52.3
407,1934,Nov,46.67
408,1934,Dec,32.7
409,1935,Jan,27.97
410,1935,Feb,29.7
411,1935,Mar,42.85
412,1935,Apr,48.24
413,1935,May,57.49
414,1935,Jun,68.54
415,1935,Jul,75.61
416,1935,Aug,72.37
417,1935,Sep,63.07
418,1935,Oct,54.48
419,1935,Nov,47.23
420,1935,Dec,28.49
421,1936,Jan,26.74
422,1936,Feb,23.7
423,1936,Mar,44.56
424,1936,Apr,47.73
425,1936,May,62.42
426,1936,Jun,68.61
427,1936,Jul,74.12
428,1936,Aug,73.92
429,1936,Sep,66.45
430,1936,Oct,55.31
431,1936,Nov,40.68
432,1936,Dec,37.27
433,1937,Jan,39.2
434,1937,Feb,33.73
